pitchfork_id,album,album_id,artist,artist_id
11843,thao & mirah,73gHZI1HuZBKRARYwCqqLC,thao & mirah,3cRmvX2dbq6zPFDCrogUlF
11844,swanlights ep,0gDq1h43iHHJ5DUgs1e94Y,antony and the johnsons,4fxp616ALtFWnXfwxnjLzW
11844,swanlights ep,4aL45o4M1KRAM1OflCYV2x,antony and the johnsons,4fxp616ALtFWnXfwxnjLzW
11845,figurines,0tSEYZOi4NPCSMmly4AW5M,figurines,3EUJrwnewqImKJfVIXNSZi
11846,music's not for everyone,6c29mbOcKP723SZQXiawKp,chain and the gang,7nFTfkZmPlVL33Pclpf3aG
11847,music sounds better with you,1FKfjjKYaaK727UuIqlnoS,acid house kings,615PlJiTuB5O3F424mvtHq
11848,start and complete,6LnApMs9REdxchGwpbzshx,about group,1zZK82lYAq6HwCAEgdwVCR
11849,terra,3cpD6RelCzGNBvYT62z1dp,julian lynch,5pcVPO1Dc2LkIJZuQohg9k
11850,beyond the 4th door,4hgLgzjO1RtzeGIGHOCUyV,eternal tapestry,1UBacdlx682ZQ140bEKFX5
11851,gatto fritto,7LWsRC5jYhjlEkw12ixdrR,gatto fritto,3kQUHb49w1XxGIj0DeEuBq
11852,vigilante season,49LXeDiLcQpVH8POZsZrfl,max b,7f35VZGDpomj11PXdNn5D9
11852,vigilante season,0xK59TAbTUHbdTAxzrHdyl,max b,7f35VZGDpomj11PXdNn5D9
11854,"take care, take care, take care",1Wt6rLZR8j5kgYG9hsnZ7H,explosions in the sky,1uQWmt1OhuHGRKmZ2ZcL6p
11855,mass dream,5EFVscfChwMXRv2LsemxhG,tv ghost,57DTA3dAZ2JGD9HDx7muU8
11856,gb city,4VFt6gflVhBmesukoQ3Lt5,bass drum of death,5LtAyeDVOVcydj65LvgICY
11857,secret walls ep,60LAt85yhFDeXzl5aeS81J,the fresh & onlys,6Ri83BLqlgaqIc9jwSgAn1
11858,revenue retrievin': graveyard shift,39NVqORoZmrFShahhdo7xT,e-40,3crnzLy8R4lVwaigKEOz7V
11859,wit's end,4yVsTp41xK16NMHyNQYuyy,cass mccombs,2iUVQjheBnvOt8vaBrxXJz
11860,canary,5hPZPHF6Vy9K1SPRVVb1ri,southeast engine,5YInfie09DvUJCM4JD8imD
11861,in and out of youth and lightness,6Nisi4xMHk8IYQcevyFd28,young widows,1DmeNQWfU70wyD5wXP2UgR
11862,jonny,5tp2tIFpDEjj8ezpUgLe2K,jonny,1LEW204oH4iY94QpJybFLH
11865,sleep talk,06q3ZGouWwGcTqz1I2ubtJ,shannon and the clams,6A5Ns1SpGWTt8SzXPwiqVE
11866,the golden record,4MLyKcTcjdbBxwOYntMjjm,little scream,2U7njwghtRR6ofLobG32Lk
11867,walk the river,2lqhC5e81vU7ss5nK9aaQW,guillemots,3zD5liDjbqljSRorrrcEjs
11868,xi versions of black noise,1beBnsbWSx5cXKjj7z0nG5,pantha du prince,7Go2Fj2YWEQkYBqTVQArYi
11870,the english riviera,716fnrS2qXChPC3J2X73pK,metronomy,54QMjE4toDfiCryzYWCpXX
11871,family portrait,4lDVnIPmeU0ASV12SPw7HG,family portrait,0x9FXWb1oVJz7FlC1UA8Z3
11872,outmind,3we12yLsWqiauEUZnu6nzu,matthewdavid,4KKx8fVJ0y7EcpmYZ42jPc
11875,bespoke,0MNosT6jepc5brMfyeT0uP,daedelus,1YRGQOk4Mk9EpM6nTJhXtK
11875,bespoke,2gTM9njk4vWmheLikeY68b,daedelus,1YRGQOk4Mk9EpM6nTJhXtK
11876,the head and the heart,3MhJ8lLj98SPgtiH16ZmXo,the head and the heart,0n94vC3S9c3mb2HyNAOcjg
11879,w h o k i l l,3ZjiKy5Tb1MIFRyGBBzoos,tune-yards,0asVlqTLu3TimnYVyY5Jxi
11880,no problem,7vvrGPfeAkBUJBaMEGAYF5,jamaica,5UCFEKPsy3gDKElikr5vg9
11880,no problem,7khJWHZVjSSfLEZGd1axA5,jamaica,5UCFEKPsy3gDKElikr5vg9
11880,no problem,2QxjFmiQWpUqR02Sd83oSZ,jamaica,5UCFEKPsy3gDKElikr5vg9
11881,hit after hit,6DhauwZnCHeaTiTr7gHivR,sonny and the sunsets,67zR9a98QqWJwpO7wBrGog
11882,lollipop,5dmEjAHZiXrZ0jaKj59qOo,meat puppets,2h9yQhKyqOMex3QFMVeq7F
11883,so beautiful or so what,71hpzCnp9lYUZgV4rUtdvT,paul simon,2CvCyf1gEVhI0mX6aFXmVI
11884,wasting light,5lnQLEUiVDkLbFJHXHQu9m,foo fighters,7jy3rLJdDQY21OgRLCZ9sD
11885,outdoor spell,1B8aHHxxjOTaLpJ6rJ4k91,rhys chatham,5xzxiSk1Y7Qd7pWnQL5r04
11886,dream diary,1z6J5V3FoRxhQUeHbKgRCK,jeremy jay,4m7ZmKfGJUK9C0R5GQaMKu
