pitchfork_id,artist,album,score,link,release_year
105,Anuel AA||Ozuna,Los Dioses,6.9,/reviews/albums/anuel-ozuna-los-dioses/,2021
106,Midnight Sister,Painting the Roses,7.0,/reviews/albums/midnight-sister-painting-the-roses/,2021
108,Yasmin Williams,Urban Driftwood,8.0,/reviews/albums/yasmin-williams-urban-driftwood/,2021
109,Lande Hekt,Going to Hell,6.5,/reviews/albums/lande-hekt-going-to-hell/,2021
110,YN Jay,Ninja Warrior,6.7,/reviews/albums/yn-jay-ninja-warrior/,2021
111,Pharoahe Monch||Th1rt3eN,A Magnificent Day for an Exorcism,5.9,/reviews/albums/pharoahe-monch-th1rt3en-a-magnificent-day-for-an-exorcism/,2021
112,Peewee Longway||Cassius Jay,Longway Sinatra 2,6.9,/reviews/albums/peewee-longway-cassius-jay-longway-sinatra-2/,2021
113,Steve Earle,J.T.,7.6,/reviews/albums/steve-earle-jt/,2021
114,Elori Saxl,The Blue of Distance,7.8,/reviews/albums/elori-saxl-the-blue-of-distance/,2021
115,Pom Poko,Cheater,7.5,/reviews/albums/pom-poko-cheater/,2021
116,Palberta,Palberta5000,6.8,/reviews/albums/palberta-palberta5000/,2021
117,Carmen Villain,Sketch for Winter IX: Perlita,6.8,/reviews/albums/carmen-villain-sketch-for-winter-ix-perlita/,2021
118,Nyck Caution,Anywhere But Here,5.6,/reviews/albums/nyck-caution-anywhere-but-here/,2021
119,Trees,Trees (50th Anniversary Edition),8.3,/reviews/albums/trees-trees-50th-anniversary-edition/,2020
120,Rhye,Home,6.6,/reviews/albums/rhye-home/,2021
121,Mason Lindahl,Kissing Rosy in the Rain,7.7,/reviews/albums/mason-lindahl-kissing-rosy-in-the-rain/,2021
123,Iris DeMent,Infamous Angel,9.0,/reviews/albums/iris-dement-infamous-angel/,1992
124,The KLF,Solid State Logik 1,8.1,/reviews/albums/the-klf-solid-state-logik-1/,2021
125,Kiwi Jr.,Cooler Returns,7.0,/reviews/albums/kiwi-jr-cooler-returns/,2021
126,Bicep,Isles,6.3,/reviews/albums/bicep-isles/,2021
128,Kasper Marott,Full Circle,7.3,/reviews/albums/kasper-marott-full-circle/,2021
129,Buck Meek,Two Saviors,7.1,/reviews/albums/buck-meek-two-saviors/,2021
131,Ashnikko,Demidevil,6.9,/reviews/albums/ashnikko-demidevil/,2021
132,Zayn,Nobody Is Listening,5.6,/reviews/albums/zayn-nobody-is-listening/,2021
133,Danielle Durack,No Place,6.7,/reviews/albums/danielle-durack-no-place/,2021
134,Nancy,The Seven Foot Tall Post-Suicidal Feel Good Blues,6.6,/reviews/albums/nancy-the-seven-foot-tall-post-suicidal-feel-good-blues/,2021
136,Patricia Brennan,Maquishti,7.4,/reviews/albums/patricia-brennan-maquishti/,2021
137,Thin Lizzy,Jailbreak,9.1,/reviews/albums/thin-lizzy-jailbreak/,1976
139,Shame,Drunk Tank Pink,7.6,/reviews/albums/shame-drunk-tank-pink/,2021
140,Tony Shhnow,Kill Streak,7.5,/reviews/albums/tony-shhnow-kill-streak/,2020
141,Four Tet,Parallel,7.7,/reviews/albums/four-tet-parallel-871/,2020
142,Morgan Wallen,Dangerous: The Double Album,6.9,/reviews/albums/morgan-wallen-dangerous-the-double-album/,2021
143,Jazmine Sullivan,Heaux Tales,8.6,/reviews/albums/jazmine-sullivan-heaux-tales/,2021
144,Heather Trost,Petrichor,7.2,/reviews/albums/heather-trost-petrichor/,2020
145,Viagra Boys,Welfare Jazz,7.2,/reviews/albums/viagra-boys-welfare-jazz/,2021
146,Mourn,Self Worth,7.2,/reviews/albums/mourn-self-worth/,2020
147,Navy Blue,Song of Sage: Post Panic!,8.2,/reviews/albums/navy-blue-song-of-sage-post-panic/,2020
148,Prurient||Kelly Moran,Chain Reaction At Dusk,7.3,/reviews/albums/prurient-kelly-moran-chain-reaction-at-dusk/,2020
151,Mica Levi,Ruff Dog,6.7,/reviews/albums/mica-levi-ruff-dog/,2020
152,Father,"Come Outside, We Not Gone Jump You",7.4,/reviews/albums/father-come-outside-we-not-gone-jump-you/,2020
153,Channel Tres,I Can’t Go Outside,6.5,/reviews/albums/channel-tres-i-cant-go-outside/,2020
154,Kacy & Clayton||Marlon Williams,Plastic Bouquet,7.0,/reviews/albums/kacy-and-clayton-marlon-williams-plastic-bouquet/,2020
155,billy woods||Moor Mother,BRASS,8.1,/reviews/albums/billy-woods-moor-mother-brass/,2020
156,Baldi/Gerycz Duo,After Commodore Perry Service Plaza,7.1,/reviews/albums/baldi-gerycz-duo-after-commodore-perry-service-plaza/,2020
157,Playboi Carti,Whole Lotta Red,8.3,/reviews/albums/playboi-carti-whole-lotta-red/,2020
159,Boldy James||Real Bad Man,Real Bad Boldy,7.6,/reviews/albums/boldy-james-real-bad-man-real-bad-boldy/,2020
160,I Love Your Lifestyle,No Driver,7.7,/reviews/albums/i-love-your-lifestyle-no-driver/,2020
161,Nathan Salsburg,Landwerk,7.5,/reviews/albums/nathan-salsburg-landwerk/,2020
162,Joan of Arc,Tim Melina Theo Bobby,7.4,/reviews/albums/joan-of-arc-tim-melina-theo-bobby/,2020
