pitchfork_id,artist_name,popularity,artist_id,followers,genres
15135,The Depreciation Guild,26,3Hg2a04c1Z2I3wKX32hLGU,9212,dream pop|dreamgaze|nintendocore|nu gaze|shoegaze
15136,Belong,26,3c5PAcbkeFrbWUp42FaBkW,10218,ambient|drone
15138,Baby Dee,12,7a0uIGRpVgx526bm5iCWTB,2432,dark cabaret
15139,Statehood,0,7mn2dU2sFsTFLiXCaQKhCT,30,
15140,The Dillinger Escape Plan,50,7IGcjaMGAtsvKBLQX26W4i,194597,alternative metal|american metalcore|mathcore|new jersey hardcore|new jersey punk
15143,The Whigs,29,62gHwaZEtHenaB124IuOW8,8654,athens indie|nashville indie
15144,The Raveonettes,47,3LTXHU3DhiYzGIgF2PP8Q8,122769,dance-punk|danish alternative rock|danish rock|modern dream pop|nu gaze
15145,American Music Club,25,6uHjKRsYGaElOrKWlSEji3,9112,melancholia|slowcore
15146,Hayden,33,2EJpeCmBlwSNpb1GcTj1xp,15473,canadian indie|modern folk rock
15147,60 Watt Kid,0,5Y8yItzGpBlcuPQm4z5lKk,0,
15150,Atlas Sound,41,3kGhAL9j1WyNjNkWTRQd8T,93087,art pop|atlanta indie|chillwave|freak folk|indie rock|modern dream pop|noise pop|nu gaze
15151,Kelley Stoltz,34,6NZ4NDGpMT4p82PCJh57Ec,9799,bay area indie|freak folk|garage psych|neo-psychedelic
15152,Bob Mould,39,0fWvSXbvztkeHEnEuYvU2A,58817,alternative country|alternative pop|alternative rock|gbvfi|permanent wave|power pop|roots rock
15153,Sons And Daughters,26,1PrFsWVNcI16jsB84oYbAM,7853,scottish indie
15154,Nick Lowe,52,3BqaUtuQmqIHg7B5Bc7fP7,80532,alternative country|art rock|classic uk pop|country rock|folk|folk rock|heartland rock|lilith|mellow gold|power pop|pub rock|roots rock|singer-songwriter
15155,The Mountain Goats,62,3hyGGjxu73JuzBa757H6R5,268696,anti-folk|chamber pop|freak folk|indie folk|indie pop|indie rock|lo-fi|melancholia|new weird america|stomp and holler
15156,rings,0,1TkEVQvtxz3vEY2wb5SA9a,107,
15157,Saviours,16,3kDriIhqNulTiUuGfLR3Wd,6108,sludge metal|stoner metal
15158,Balmorhea,57,1U0FaHAc4fcwQcYEJFgkm9,136454,bow pop|compositional ambient|melancholia|neoclassical darkwave|post-rock
15159,Disfear,31,2rYMvTD6SxQHgOXhVUdTRc,18618,crust punk|d-beat|grindcore|neo-crust|swedish hardcore|thrash core
15161,Biirdie,0,7yVwq2drsaNmOD6JFJY3CL,127,deep indie rock
15162,Fairmont,34,2Ch5FKvelQEglFpISkr7Po,8805,microhouse|minimal techno
15165,Colleen,46,0mOPHkTHaD6cFTMODNBxA3,44363,ambient|art pop|compositional ambient|drone|electra|experimental pop|folktronica|fourth world|freak folk
15166,Monade,12,6YCiyXrKSNIF1TjCY2uE57,2377,french rock
15168,Lightspeed Champion,30,0Kznf00rXvzkXOoAobg59I,12701,english indie rock
15170,Flowers Forever,18,37xy86cAE2dfbh4p6SeaUL,1271,omaha indie
15171,The Busy Signals,5,3WgjTxeLk7HIG9OeRJ4cyg,442,garage punk
15173,The Mae Shi,24,6M9pTtyPIMTUye6QV8AU4t,3110,noise rock
15175,Human Bell,25,2owKxBtXtjyNnd1ckXbdQ9,2689,dark jazz
15177,Mahjongg,6,4AhkXOQSRSuCcSZdYoksOa,611,experimental indie|experimental indie rock
15178,Dawn McCarthy,12,6eaiX6o2BMv5eyOjz9A6s0,465,alternative country
15178,Bonnie Billy,3,6fNlHZ5JFzXgTALDGY9gm5,36,
15179,Bee Gees,81,1LZEQNv7sE11VDY3SdxQeN,4412863,disco|mellow gold|soft rock
15180,The Weakerthans,48,1US3cA3tVZ50O7n4xE1o0K,64434,canadian indie|emo|folk punk|indie pop|indie rock|manitoba indie
15183,Xasthur,36,0nH9qzKJMfrJNnF37nDaVj,40580,atmospheric black metal|autonomous black metal|black metal|depressive black metal|drone metal|usbm
15184,Jason Collett,29,4uuXjSga3HgpAETXd0UpxW,8475,canadian indie
15185,Yakuza,11,5CXnC5TvKhnUERFcMkKgmz,2966,avant-garde metal
15187,Rafter,10,6jK3EnGSFLfoMQVnxonnIy,1069,deep indie pop
15188,Dead Meadow,43,0AI2um3PpFgOj7Yzmk2Xu0,69459,modern blues rock|neo-psychedelic|psychedelic doom|space rock|stoner rock
15189,They Might Be Giants (For Kids),55,18ZrIxk5cW5C0MEeTeQx7O,2843,children's music|preschool children's music
15190,The Cake Sale,15,12fY4HwtYCbgqaK8SfRuyF,908,deep acoustic pop|dublin indie
15191,Barton Carroll,27,1Jn20Rv3bPmKgS8F8sdaw4,2549,
15192,Burnt Friedman,27,1Y6bd4Omy7dhr9Bfpc9s3E,7743,german electronica|microhouse
15193,The Mars Volta,57,75U40yZLLPglFgXbDVnmVs,477572,alternative metal|el paso indie|rock
15194,Hey Willpower,4,34IOrTzZr9vELYQgsWGY5M,286,
15198,Hot Chip,64,37uLId6Z5ZXCx19vuruvv5,588711,alternative dance|chillwave|dance rock|dance-punk|electronica|electropop|indie rock|indietronica|modern rock|neo-synthpop|new rave
15199,Dirty on Purpose,7,6tpqA2nDdfGfLgIKDdv5kw,753,stomp pop
15200,Opeth,63,0ybFZ2Ab08V8hueghSXm6E,643850,alternative metal|metal|progressive death metal|progressive metal|rock|swedish metal|swedish progressive metal
15203,Dan Morrissey,0,1H1WSlWfIs7iza4sUa7pza,12,
15204,Louis XIV,37,60NKN6tZYKbkjX1qpFQIqF,23148,dance-punk|garage rock revival
15205,Luke Temple,37,6MUv39LOn5bz2QW4SBKE85,12236,baroque pop
15206,Ghislain Poirier,9,4hAuKAt7R8K8lYNllKexiH,846,
15207,Nick Cave,57,1RM5gp0RFfjpJhCYFPB30p,289131,art pop|art rock|melancholia
15207,Warren Ellis,56,0A8tch4LePxVn1Cn60wGXu,24416,oceania soundtrack
15209,These Are Powers,3,2m4YlNFkdSmjWWnWMtkunR,516,noise rock
15210,Songs Of Green Pheasant,17,0VS8UpgOSp2a22HM5ONy4y,1432,folktronica|sheffield indie
15211,Bottomless Pit,8,0ejW8mYIemsZ96MFsdtcbf,1293,gbvfi
15212,Chris Walla,27,4UP7ibAacJ5joROTv4ShG5,3227,
15214,Daedelus,42,1YRGQOk4Mk9EpM6nTJhXtK,61080,bass music|drill and bass|glitch hop|intelligent dance music|ninja|wonky
15216,Xiu Xiu,51,5JLqvjW3Nyom2OsRUyFsS9,100223,alternative rock|art pop|art rock|bay area indie|dream pop|escape room|experimental|experimental pop|experimental rock|freak folk|grave wave|indie rock|modern rock|new rave|noise pop
15218,Enter Shikari,62,31jvzuB4ikftPQZJwrYfCF,366575,modern rock|nintendocore|trancecore|uk metalcore|uk post-hardcore
15219,Evangelicals,10,1rseIU9GBRFvJ0X7SXgC3X,2462,norman ok indie
15223,Ed Askew,25,6dkNBFTQ8DdQpfYxmi3kIB,3348,outsider
15224,Robert Pollard,29,0L8gNE8U7v7YvefZenVKo5,8821,alternative pop|dayton indie|gbvfi|lo-fi
15226,Vampire Weekend,73,5BvJzeQpmsdsFp4HGUYUEx,1718690,baroque pop|indie rock|modern rock
15227,Mother and the Addicts,2,7qC7KkQvU0XAQQ1mL81kA5,197,
15228,Zs,14,0qEuBxmSxYfz0dsDmk8gqk,3899,laboratorio
15230,Aloha,18,10djO7vMVmXVsOwxadXEvv,3663,
15231,Drive-By Truckers,57,1rXr1ZnvbRoYBaedIl9v4v,157669,alternative country|country rock|deep new americana|folk|heartland rock|new americana|roots rock|southern rock|stomp and holler
15232,Rob Sonic,33,0JQiT3MRJw3WsT2MT80qTR,15932,abstract hip hop|alternative hip hop
