pitchfork_id,album,album_id,artist,artist_id
19,duke,7ryVZ5ca6GM3FAkmlrymgv,genesis,3CkvROUTQ6nRi9yQOcsB50
21,little oblivions,3IQRHa9iVLsGlSuVHiHZ3A,julien baker,12zbUHbPHL5DGuJtiUfsip
22,life support,1TKYO9znkrY14VayHze05r,madison beer,2kRfqPViCqYdSGhYSM9R0Q
23,like sunlit threads,043ANnAhTCM6946YX8VAMA,kas,7bArH2rfy7OiQFPEld3OWQ
24,endeavor,65szqpN5uHBpsCPdxZculv,the muckers,19yF7aXJdu5R9rwOAxgQZA
25,echo,1pzhEpxXqkJlytfoDWyppm,indigo sparke,3KlPjpVKfm6vESPL46NDCh
26,believer,6L0IdiiAC6ELOGyksKclzn,smerz,1f8PlfSHEW6fHnILSzm8dI
27,trench baby,4vNJZFb73BVAhkg7hSbTFh,lil zay osama,7rkcFChEJ9tCLcVevtu0Nt
27,trench baby,6eUMeQBz78ggxLgYfyAaEC,lil zay osama,7rkcFChEJ9tCLcVevtu0Nt
28,in spite of,74dQdtxUtaMiyah8rHt5g7,for your health,05WgLjPQXUFOyh6mlBAHs2
29,open door policy,3wW4dsaL7EVVdAfu9aIU1M,the hold steady,3qkZBMz5JgmRN9u5wwhRC6
30,dialogue.,6F76UghtUqmcXSpmQszzVi,ol' burger beats||vuyo,4rDDy4hN7Tbrv0ntOvVKPz|6pWOGQubsgAiEZmzioIyDi
32,the tipping scale,6BpbvuH5AOPhYeXRk5k8rq,kinlaw,00lmjM2SCns1fVHOC9deVk
33,might delete later,23ltBF0A0Mw1yhgKnOYdXR,chris crack,3wws8s15DuuQWiG2xct414
34,something else ep,45GIEj8DhZu8zUPTWokULu,mr eazi,4TAoP0f9OuWZUesao43xUW
35,nerve bumps (a queer divine dissatisfaction),4Q8PvbmTWVWbUy1RpA2myd,dax pierson,0j3zZm37wc4J9nwC2oxb8g
36,trauma factory,16rbUsslYCC9NnKIwLQUnY,"nothing,nowhere.",7FngGIEGgN3Iwauw1MvO4P
37,a billion little lights,5Hj9DO1au6m5BcdosyjODG,wild pink,2BS3fywRW33o5GygfzZaOZ
38,as the love continues,0kxIBVwMO6suZGKMOEriVG,mogwai,34UhPkLbtFKRq3nmfFgejG
40,iii ep,4jEi2jR4jOxgBonbHBKWh2,blessed,0IE68xHQxczOqBXTnB1cGD
41,teenage dream,2eQMC9nJE3f3hCNKlYYHL1,katy perry,6jJ0s89eD6GaHleKKya26X
41,teenage dream,3BoUxfC7YhxNq3TpOfnRif,katy perry,6jJ0s89eD6GaHleKKya26X
41,teenage dream,32Uy0GLddTw4559CWja1f1,katy perry,6jJ0s89eD6GaHleKKya26X
41,teenage dream,45tPr0lCCGbN2KqFNunc1o,katy perry,6jJ0s89eD6GaHleKKya26X
42,legacy +,2jxFCibdcvonAJWgdmPEPZ,femi kuti||made kuti,6kgrtA0dlnVpWB6zjpXrRb|1ZeiiasZFdLdliVe0TJI7b
43,an overview on phenomenal nature,1NzOdSkSNmBhhg72KlNcsE,cassandra jenkins,1WVGbBnzZ5WLZ2PfesIHik
44,times,6WlRyrfOBZGYA5u5TmloKY,sg lewis,0GG2cWaonE4JPrjcCCQ1EG
45,good timing,095LNfAEI2EPWtL3Z3xVsX,adeline hotel,3BOfygYBFwHTBFyCbsQVMv
46,angel tears in sunlight,40tlrXYp2qd0ioGD92haRj,pauline anna strom,1N5oRpOIshVJwICjXqkHPW
48,edna (deluxe),4KxJRAHWvrJSIeftGB9PHP,headie one,6UCQYrcJ6wab6gnQ89OJFh
49,if it bleeds it can be killed,75qYZFfUhFSQSH2aOWM68s,big ghost ltd||conway the machine,2ImVXJxagzYSK38S6qGBJ5|67gqUXxHedeUGDTxwBzdjS
50,who am i?,5FLKDb9bvbMu0yTahZtgHO,pale waves,0wOej91SVqB1zcYkW6xUtA
51,with the shifts,2Zj33m5mrwB8BTenqvmHRk,maassai,6Cjn6Iu1NYSu1QsRzjSJTV
52,lost themes iii: alive after death,5W1xfdrKU44SOOR7fKFmxn,john carpenter,0hxQtmgWiPtEsDPeIuKxXq
53,new fragility,6FmbRETfSYeBwF48whZnM9,clap your hands say yeah,1jSaZgaKHmgc7VTgML528r
54,oh! pardon tu dormais...,7cntvTVCO1Xx0sneL900tC,jane birkin,4XYH5Be5pn1qkxhfaID3J5
55,tyron,7qE3WaOVAAIxgH8WtjbBBj,slowthai,3r1XkJ7vCs8kHBSzGvPLdP
56,let my people go,5TW5luIbblmrglEv4NpP8K,archie shepp||jason moran,7C2DSqaNkh0w77O5Jz1FKh|7g3iwvP459BN53F7CDxemI
56,let my people go,7mcoFAbVkT4XxInBRKvyJB,archie shepp||jason moran,7C2DSqaNkh0w77O5Jz1FKh|7g3iwvP459BN53F7CDxemI
57,glowing in the dark,3HViIGlk6vd4K4HAbQ1XKg,django django,2ARO60gI5do88ho6azmzab
61,private life,7CqnwmoccH6sXLJBGCNWKQ,virginia wing,26YMx1oNjSN1c0qZHLyZ2k
62,she's calling ep,4QIzvwiurfYaLWAATLXU0N,octo octa,2GH8Mzo3Ur1AdOnGUUpt17
63,tell me i'm bad,74Q8Gho5myJXsz97mcPgi5,editrix,114Z5iDTpNa5tbPNSUMCre
64,lines redacted,5psdjpFeIgR3oQg8SEuYet,mush,2f5uymtkTSIyanPXK0YFmX
65,flowers for vases / descansos,3JSvIZCtxK4fUywBK41129,hayley williams,6Rx1JKzBrSzoKQtmbVmBnM
66,unfuckwitable,2MpJtftIqLIfTdOGzOMwzo,babyface ray,3zZ88AwlTwfCJkowsFCvLA
66,unfuckwitable,7DkeWQPoiPh0QEjxGsVa72,babyface ray,3zZ88AwlTwfCJkowsFCvLA
67,merlynn belle,2biNQiTDfU3EB7iu73l3ZD,tele novella,3yxZJMBn5A2OMEGO7Tvg72
